"p" "slope" "resol"
"45" 0.0629303230333853 -3.8893886616311 0.92
"46" 0.0526881479260812 -4.06695400620104 0.92
"47" 0.0544640015501736 -4.04711018394803 0.92
"48" 0.071459222514712 -3.79385289709344 0.92
"49" 0.0786326706794049 -3.71115659185832 0.92
"50" 0.0820431315934648 -3.6817010267908 0.92
"51" 0.068762693840923 -3.86606084167338 0.92
"52" 0.0853919749296467 -3.66616234399673 0.92
"53" 0.101106958642496 -3.50310218634663 0.93
"54" 0.117418013928736 -3.35788724856134 0.93
"55" 0.144296863331117 -3.14312749946607 0.94
"56" 0.146648249665773 -3.13083283434828 0.94
"57" 0.209256515032781 -2.71187043986436 0.95
"58" 0.220805411347487 -2.64761401832521 0.95
"59" 0.236551451454276 -2.5624978498384 0.95
"60" 0.23675228394563 -2.56556376467408 0.95
"61" 0.256794526523847 -2.46125908241345 0.95
"62" 0.291310328334452 -2.2939827717744 0.95
"63" 0.281597545925364 -2.34610789374163 0.95
"64" 0.238157787692174 -2.57109766408046 0.95
"65" 0.181467934142625 -2.91891580899735 0.95
"66" 0.126251536463302 -3.33842254583616 0.95
"67" 0.125820652064797 -3.3496037413792 0.95
"68" 0.0883523279084442 -3.73650513109154 0.95
"69" 0.0700687837850057 -3.97620915581098 0.95
"70" 0.0645467806234681 -4.06564062752867 0.95
"71" 0.0615247581732315 -4.12211039710493 0.95
"72" 0.0582525631359935 -4.18665814687963 0.95
"73" 0.0904755017366015 -3.76507009304184 0.95
"74" 0.0617826003204259 -4.16034807714995 0.95
"75" 0.0642374934996641 -4.13243255042242 0.95
"76" 0.0643653569581849 -4.14881186720521 0.95
"77" 0.0592758679611759 -4.24080068118317 0.95
"78" 0.0713644959156893 -4.07452982538221 0.95
"79" 0.0814313414196053 -3.94677315542996 0.96
"80" 0.0583946288312189 -4.30339347348874 0.96
"81" 0.0744312185272703 -4.05551829207746 0.96
"82" 0.0511736852035795 -4.43663122583561 0.96
"83" 0.0424498226770979 -4.62232775491057 0.96
"84" 0.0348292194505257 -4.82112677635372 0.96
"85" 0.0312123483968178 -4.94000860391985 0.96
"86" 0.0428477371373671 -4.65229787140564 0.96
"87" 0.052280914563922 -4.48653753110556 0.97
"88" 0.0616332322160505 -4.33537491983714 0.97
"89" 0.064896215160117 -4.29073593841769 0.97
"90" 0.0589094429551087 -4.40439334219494 0.97
"91" 0.0635234304060471 -4.33511844703153 0.97
"92" 0.0692716582047616 -4.25247113454739 0.97
"93" 0.115178265008601 -3.69078861299325 0.97
"94" 0.136966924022594 -3.48756335455263 0.97
"95" 0.138957567571941 -3.47835824462946 0.97
"96" 0.210052157771048 -2.94155049770836 0.97
"97" 0.233456727542931 -2.80201613181152 0.97
"98" 0.228662214707205 -2.84099939625911 0.97
"99" 0.25587576375798 -2.68632532580607 0.98
"100" 0.218399834081299 -2.91304385069524 0.98
"101" 0.199690699527273 -3.0447194044999 0.98
"102" 0.20843576079013 -2.9946187507168 0.98
